Time,Central,Tipo Central,Generacion_MWh,Tecnologia,Clasificacion,Codigo Central
2017-08-01T01:00:00Z,Solar Esperanza,Solar,"0,00",Solar Fotovoltaica,ERNC,Salvador RTS
2017-08-01T02:00:00Z,Solar Esperanza,Solar,"0,00",Solar Fotovoltaica,ERNC,Salvador RTS
2017-08-01T03:00:00Z,Solar Esperanza,Solar,"0,00",Solar Fotovoltaica,ERNC,Salvador RTS
2017-08-01T04:00:00Z,Solar Esperanza,Solar,"0,00",Solar Fotovoltaica,ERNC,Salvador RTS
2017-08-01T05:00:00Z,Solar Esperanza,Solar,"0,00",Solar Fotovoltaica,ERNC,Salvador RTS
2017-08-01T06:00:00Z,Solar Esperanza,Solar,"0,00",Solar Fotovoltaica,ERNC,Salvador RTS
2017-08-01T07:00:00Z,Solar Esperanza,Solar,"0,00",Solar Fotovoltaica,ERNC,Salvador RTS
2017-08-01T08:00:00Z,Solar Esperanza,Solar,"0,00",Solar Fotovoltaica,ERNC,Salvador RTS
2017-08-01T09:00:00Z,Solar Esperanza,Solar,"0,00",Solar Fotovoltaica,ERNC,Salvador RTS
2017-08-01T10:00:00Z,Solar Esperanza,Solar,"0,00",Solar Fotovoltaica,ERNC,Salvador RTS
2017-08-01T11:00:00Z,Solar Esperanza,Solar,"0,00",Solar Fotovoltaica,ERNC,Salvador RTS
2017-08-01T12:00:00Z,Solar Esperanza,Solar,"0,00",Solar Fotovoltaica,ERNC,Salvador RTS
2017-08-01T13:00:00Z,Solar Esperanza,Solar,"0,00",Solar Fotovoltaica,ERNC,Salvador RTS
2017-08-01T14:00:00Z,Solar Esperanza,Solar,"0,00",Solar Fotovoltaica,ERNC,Salvador RTS
2017-08-01T15:00:00Z,Solar Esperanza,Solar,"0,00",Solar Fotovoltaica,ERNC,Salvador RTS
2017-08-01T16:00:00Z,Solar Esperanza,Solar,"0,00",Solar Fotovoltaica,ERNC,Salvador RTS
2017-08-01T17:00:00Z,Solar Esperanza,Solar,"0,00",Solar Fotovoltaica,ERNC,Salvador RTS
2017-08-01T18:00:00Z,Solar Esperanza,Solar,"0,00",Solar Fotovoltaica,ERNC,Salvador RTS
2017-08-01T19:00:00Z,Solar Esperanza,Solar,"0,00",Solar Fotovoltaica,ERNC,Salvador RTS
2017-08-01T20:00:00Z,Solar Esperanza,Solar,"0,00",Solar Fotovoltaica,ERNC,Salvador RTS
2017-08-01T21:00:00Z,Solar Esperanza,Solar,"0,00",Solar Fotovoltaica,ERNC,Salvador RTS
2017-08-01T22:00:00Z,Solar Esperanza,Solar,"0,00",Solar Fotovoltaica,ERNC,Salvador RTS
2017-08-01T23:00:00Z,Solar Esperanza,Solar,"0,00",Solar Fotovoltaica,ERNC,Salvador RTS
2017-08-02T00:00:00Z,Solar Esperanza,Solar,"0,00",Solar Fotovoltaica,ERNC,Salvador RTS
2017-08-01T01:00:00Z,Solar Llano de Llampos,Solar,"0,00",Solar Fotovoltaica,ERNC,Llano de Llampos
2017-08-01T02:00:00Z,Solar Llano de Llampos,Solar,"0,00",Solar Fotovoltaica,ERNC,Llano de Llampos
2017-08-01T03:00:00Z,Solar Llano de Llampos,Solar,"0,00",Solar Fotovoltaica,ERNC,Llano de Llampos
2017-08-01T04:00:00Z,Solar Llano de Llampos,Solar,"0,00",Solar Fotovoltaica,ERNC,Llano de Llampos
2017-08-01T05:00:00Z,Solar Llano de Llampos,Solar,"0,00",Solar Fotovoltaica,ERNC,Llano de Llampos
2017-08-01T06:00:00Z,Solar Llano de Llampos,Solar,"0,00",Solar Fotovoltaica,ERNC,Llano de Llampos
2017-08-01T07:00:00Z,Solar Llano de Llampos,Solar,"0,00",Solar Fotovoltaica,ERNC,Llano de Llampos
2017-08-01T08:00:00Z,Solar Llano de Llampos,Solar,"0,20",Solar Fotovoltaica,ERNC,Llano de Llampos
2017-08-01T09:00:00Z,Solar Llano de Llampos,Solar,"8,50",Solar Fotovoltaica,ERNC,Llano de Llampos
2017-08-01T10:00:00Z,Solar Llano de Llampos,Solar,"39,80",Solar Fotovoltaica,ERNC,Llano de Llampos
2017-08-01T11:00:00Z,Solar Llano de Llampos,Solar,"50,70",Solar Fotovoltaica,ERNC,Llano de Llampos
2017-08-01T12:00:00Z,Solar Llano de Llampos,Solar,"59,60",Solar Fotovoltaica,ERNC,Llano de Llampos
2017-08-01T13:00:00Z,Solar Llano de Llampos,Solar,"59,80",Solar Fotovoltaica,ERNC,Llano de Llampos
2017-08-01T14:00:00Z,Solar Llano de Llampos,Solar,"60,20",Solar Fotovoltaica,ERNC,Llano de Llampos
2017-08-01T15:00:00Z,Solar Llano de Llampos,Solar,"62,20",Solar Fotovoltaica,ERNC,Llano de Llampos
2017-08-01T16:00:00Z,Solar Llano de Llampos,Solar,"61,70",Solar Fotovoltaica,ERNC,Llano de Llampos
2017-08-01T17:00:00Z,Solar Llano de Llampos,Solar,"52,60",Solar Fotovoltaica,ERNC,Llano de Llampos
2017-08-01T18:00:00Z,Solar Llano de Llampos,Solar,"18,80",Solar Fotovoltaica,ERNC,Llano de Llampos
2017-08-01T19:00:00Z,Solar Llano de Llampos,Solar,"0,00",Solar Fotovoltaica,ERNC,Llano de Llampos
2017-08-01T20:00:00Z,Solar Llano de Llampos,Solar,"0,00",Solar Fotovoltaica,ERNC,Llano de Llampos
2017-08-01T21:00:00Z,Solar Llano de Llampos,Solar,"0,00",Solar Fotovoltaica,ERNC,Llano de Llampos
2017-08-01T22:00:00Z,Solar Llano de Llampos,Solar,"0,00",Solar Fotovoltaica,ERNC,Llano de Llampos
2017-08-01T23:00:00Z,Solar Llano de Llampos,Solar,"0,00",Solar Fotovoltaica,ERNC,Llano de Llampos
2017-08-02T00:00:00Z,Solar Llano de Llampos,Solar,"0,00",Solar Fotovoltaica,ERNC,Llano de Llampos
2017-08-01T01:00:00Z,Solar San Andrés,Solar,"0,00",Solar Fotovoltaica,ERNC,Solar San Andrés
2017-08-01T02:00:00Z,Solar San Andrés,Solar,"0,00",Solar Fotovoltaica,ERNC,Solar San Andrés
2017-08-01T03:00:00Z,Solar San Andrés,Solar,"0,00",Solar Fotovoltaica,ERNC,Solar San Andrés
2017-08-01T04:00:00Z,Solar San Andrés,Solar,"0,00",Solar Fotovoltaica,ERNC,Solar San Andrés
2017-08-01T05:00:00Z,Solar San Andrés,Solar,"0,00",Solar Fotovoltaica,ERNC,Solar San Andrés
2017-08-01T06:00:00Z,Solar San Andrés,Solar,"0,00",Solar Fotovoltaica,ERNC,Solar San Andrés
2017-08-01T07:00:00Z,Solar San Andrés,Solar,"0,00",Solar Fotovoltaica,ERNC,Solar San Andrés
2017-08-01T08:00:00Z,Solar San Andrés,Solar,"0,00",Solar Fotovoltaica,ERNC,Solar San Andrés
2017-08-01T09:00:00Z,Solar San Andrés,Solar,"1,10",Solar Fotovoltaica,ERNC,Solar San Andrés
2017-08-01T10:00:00Z,Solar San Andrés,Solar,"2,40",Solar Fotovoltaica,ERNC,Solar San Andrés
2017-08-01T11:00:00Z,Solar San Andrés,Solar,"4,00",Solar Fotovoltaica,ERNC,Solar San Andrés
2017-08-01T12:00:00Z,Solar San Andrés,Solar,"8,60",Solar Fotovoltaica,ERNC,Solar San Andrés
2017-08-01T13:00:00Z,Solar San Andrés,Solar,"12,90",Solar Fotovoltaica,ERNC,Solar San Andrés
2017-08-01T14:00:00Z,Solar San Andrés,Solar,"21,90",Solar Fotovoltaica,ERNC,Solar San Andrés
2017-08-01T15:00:00Z,Solar San Andrés,Solar,"22,00",Solar Fotovoltaica,ERNC,Solar San Andrés
