Time,Central,Tipo Central,Generacion_MWh,Tecnologia,Clasificacion,Codigo Central
2017-08-01T09:00:00Z,Solar Techos de Altamira,Solar,"0,00",Solar Fotovoltaica,ERNC,Techos de Altamira
2017-08-01T10:00:00Z,Solar Techos de Altamira,Solar,"0,00",Solar Fotovoltaica,ERNC,Techos de Altamira
2017-08-01T11:00:00Z,Solar Techos de Altamira,Solar,"0,01",Solar Fotovoltaica,ERNC,Techos de Altamira
2017-08-01T12:00:00Z,Solar Techos de Altamira,Solar,"0,01",Solar Fotovoltaica,ERNC,Techos de Altamira
2017-08-01T13:00:00Z,Solar Techos de Altamira,Solar,"0,00",Solar Fotovoltaica,ERNC,Techos de Altamira
2017-08-01T14:00:00Z,Solar Techos de Altamira,Solar,"0,00",Solar Fotovoltaica,ERNC,Techos de Altamira
2017-08-01T15:00:00Z,Solar Techos de Altamira,Solar,"0,01",Solar Fotovoltaica,ERNC,Techos de Altamira
2017-08-01T16:00:00Z,Solar Techos de Altamira,Solar,"0,01",Solar Fotovoltaica,ERNC,Techos de Altamira
2017-08-01T17:00:00Z,Solar Techos de Altamira,Solar,"0,00",Solar Fotovoltaica,ERNC,Techos de Altamira
2017-08-01T18:00:00Z,Solar Techos de Altamira,Solar,"0,00",Solar Fotovoltaica,ERNC,Techos de Altamira
2017-08-01T19:00:00Z,Solar Techos de Altamira,Solar,"0,00",Solar Fotovoltaica,ERNC,Techos de Altamira
2017-08-01T20:00:00Z,Solar Techos de Altamira,Solar,"0,00",Solar Fotovoltaica,ERNC,Techos de Altamira
2017-08-01T21:00:00Z,Solar Techos de Altamira,Solar,"0,00",Solar Fotovoltaica,ERNC,Techos de Altamira
2017-08-01T22:00:00Z,Solar Techos de Altamira,Solar,"0,00",Solar Fotovoltaica,ERNC,Techos de Altamira
2017-08-01T23:00:00Z,Solar Techos de Altamira,Solar,"0,00",Solar Fotovoltaica,ERNC,Techos de Altamira
2017-08-02T00:00:00Z,Solar Techos de Altamira,Solar,"0,00",Solar Fotovoltaica,ERNC,Techos de Altamira
2017-08-01T01:00:00Z,Solar Diego de Almagro,Solar,"0,00",Solar Fotovoltaica,ERNC,Solar Diego de Almagro
2017-08-01T02:00:00Z,Solar Diego de Almagro,Solar,"0,00",Solar Fotovoltaica,ERNC,Solar Diego de Almagro
2017-08-01T03:00:00Z,Solar Diego de Almagro,Solar,"0,00",Solar Fotovoltaica,ERNC,Solar Diego de Almagro
2017-08-01T04:00:00Z,Solar Diego de Almagro,Solar,"0,00",Solar Fotovoltaica,ERNC,Solar Diego de Almagro
2017-08-01T05:00:00Z,Solar Diego de Almagro,Solar,"0,00",Solar Fotovoltaica,ERNC,Solar Diego de Almagro
2017-08-01T06:00:00Z,Solar Diego de Almagro,Solar,"0,00",Solar Fotovoltaica,ERNC,Solar Diego de Almagro
2017-08-01T07:00:00Z,Solar Diego de Almagro,Solar,"0,00",Solar Fotovoltaica,ERNC,Solar Diego de Almagro
2017-08-01T08:00:00Z,Solar Diego de Almagro,Solar,"0,06",Solar Fotovoltaica,ERNC,Solar Diego de Almagro
2017-08-01T09:00:00Z,Solar Diego de Almagro,Solar,"1,50",Solar Fotovoltaica,ERNC,Solar Diego de Almagro
2017-08-01T10:00:00Z,Solar Diego de Almagro,Solar,"9,46",Solar Fotovoltaica,ERNC,Solar Diego de Almagro
2017-08-01T11:00:00Z,Solar Diego de Almagro,Solar,"17,40",Solar Fotovoltaica,ERNC,Solar Diego de Almagro
2017-08-01T12:00:00Z,Solar Diego de Almagro,Solar,"23,21",Solar Fotovoltaica,ERNC,Solar Diego de Almagro
2017-08-01T13:00:00Z,Solar Diego de Almagro,Solar,"23,85",Solar Fotovoltaica,ERNC,Solar Diego de Almagro
2017-08-01T14:00:00Z,Solar Diego de Almagro,Solar,"23,04",Solar Fotovoltaica,ERNC,Solar Diego de Almagro
2017-08-01T15:00:00Z,Solar Diego de Almagro,Solar,"22,22",Solar Fotovoltaica,ERNC,Solar Diego de Almagro
2017-08-01T16:00:00Z,Solar Diego de Almagro,Solar,"18,67",Solar Fotovoltaica,ERNC,Solar Diego de Almagro
2017-08-01T17:00:00Z,Solar Diego de Almagro,Solar,"12,18",Solar Fotovoltaica,ERNC,Solar Diego de Almagro
2017-08-01T18:00:00Z,Solar Diego de Almagro,Solar,"3,93",Solar Fotovoltaica,ERNC,Solar Diego de Almagro
2017-08-01T19:00:00Z,Solar Diego de Almagro,Solar,"0,00",Solar Fotovoltaica,ERNC,Solar Diego de Almagro
2017-08-01T20:00:00Z,Solar Diego de Almagro,Solar,"0,00",Solar Fotovoltaica,ERNC,Solar Diego de Almagro
2017-08-01T21:00:00Z,Solar Diego de Almagro,Solar,"0,00",Solar Fotovoltaica,ERNC,Solar Diego de Almagro
2017-08-01T22:00:00Z,Solar Diego de Almagro,Solar,"0,00",Solar Fotovoltaica,ERNC,Solar Diego de Almagro
2017-08-01T23:00:00Z,Solar Diego de Almagro,Solar,"0,00",Solar Fotovoltaica,ERNC,Solar Diego de Almagro
2017-08-02T00:00:00Z,Solar Diego de Almagro,Solar,"0,00",Solar Fotovoltaica,ERNC,Solar Diego de Almagro
2017-08-01T01:00:00Z,Solar PSF Pama,Solar,"0,00",Solar Fotovoltaica,ERNC,Solar PSF Pama
2017-08-01T02:00:00Z,Solar PSF Pama,Solar,"0,00",Solar Fotovoltaica,ERNC,Solar PSF Pama
2017-08-01T03:00:00Z,Solar PSF Pama,Solar,"0,00",Solar Fotovoltaica,ERNC,Solar PSF Pama
2017-08-01T04:00:00Z,Solar PSF Pama,Solar,"0,00",Solar Fotovoltaica,ERNC,Solar PSF Pama
2017-08-01T05:00:00Z,Solar PSF Pama,Solar,"0,00",Solar Fotovoltaica,ERNC,Solar PSF Pama
2017-08-01T06:00:00Z,Solar PSF Pama,Solar,"0,00",Solar Fotovoltaica,ERNC,Solar PSF Pama
2017-08-01T07:00:00Z,Solar PSF Pama,Solar,"0,00",Solar Fotovoltaica,ERNC,Solar PSF Pama
