"RBD","AÑO","ALTA","DERIVADO","RESUELTO","FEMENINO","MASCULINO","REGION"
"9","2015","33","","","18","15","15"
"17","2015","151","","1","72","80","15"
"19","2015","39","","","18","21","15"
"22","2015","90","","","51","39","15"
"38","2015","67","","3","38","32","15"
"70","2015","4","","","4","","15"
"72","2015","13","","1","8","6","15"
"76","2015","5","","","3","2","15"
"78","2015","54","","12","39","27","15"
"79","2015","11","","","3","8","15"
"81","2015","4","","1","1","4","15"
"82","2015","1","","2","2","1","15"
"83","2015","4","","","2","2","15"
"84","2015","","","1","1","","15"
"86","2015","4","","1","1","4","15"
"87","2015","2","","","1","1","15"
"88","2015","1","","","","1","15"
"89","2015","1","","","1","","15"
"90","2015","20","","","12","8","15"
"91","2015","3","","","1","2","15"
"93","2015","3","","","2","1","15"
"94","2015","1","","","","1","15"
"103","2015","128","","1","77","52","1"
"110","2015","27","","","20","7","1"
"111","2015","132","","8","73","67","1"
"112","2015","102","","5","37","70","1"
"114","2015","93","","3","55","41","1"
"116","2015","164","","25","97","92","1"
"117","2015","49","","4","29","24","1"
"119","2015","99","","4","60","43","1"
"123","2015","33","","5","27","11","1"
"125","2015","244","","13","135","122","1"
"126","2015","77","1","2","39","41","1"
"156","2015","10","","4","6","8","1"
"161","2015","69","","13","27","55","1"
"162","2015","3","","3","3","3","1"
"167","2015","47","","14","32","29","1"
"168","2015","3","","","2","1","1"
"169","2015","8","","1","5","4","1"
"170","2015","3","","","1","2","1"
"171","2015","2","","1","1","2","1"
"172","2015","5","","","3","2","1"
"173","2015","9","","12","12","9","1"
"174","2015","11","","1","7","5","1"
"175","2015","2","","2","4","","1"
"177","2015","4","","","","4","1"
"178","2015","37","","4","21","20","1"
"185","2015","2","","","1","1","1"
"187","2015","67","","13","43","37","1"
"188","2015","29","","2","12","19","1"
"193","2015","32","","11","23","20","1"
"201","2015","77","","1","45","33","2"
"203","2015","77","","3","39","41","2"
"204","2015","38","","","14","24","2"
"205","2015","54","","","34","20","2"
"206","2015","223","1","17","118","123","2"
"210","2015","253","","52","153","152","2"
"232","2015","31","","","16","15","2"
"236","2015","73","1","","43","31","2"
"239","2015","1","","","1","","2"
"244","2015","176","","7","95","88","2"
"265","2015","59","","","34","25","2"
"319","2015","377","","27","222","182","2"
"332","2015","72","","13","49","36","2"
"367","2015","12","","2","7","7","2"
"368","2015","75","","20","60","35","2"
"371","2015","1","","2","2","1","2"
"374","2015","133","","10","66","77","2"
"375","2015","366","","16","203","179","2"
"380","2015","59","","9","36","32","3"
"381","2015","1","","","","1","3"
"382","2015","1","","","1","","3"
"383","2015","","","2","","2","3"
"401","2015","2","","1","2","1","3"
"411","2015","31","","8","15","24","3"
"413","2015","","","3","","3","3"
"421","2015","54","","","25","29","3"
"427","2015","13","","3","7","9","3"
"430","2015","12","","","12","","3"
"434","2015","108","","29","83","54","3"
"442","2015","44","","","16","28","3"
"450","2015","1","","","1","","3"
"459","2015","226","","20","125","121","3"
"481","2015","119","","45","88","76","3"
"487","2015","14","","","6","8","3"
"489","2015","21","","3","6","18","3"
"492","2015","2","","1","1","2","3"
"519","2015","557","2","60","310","309","4"
"521","2015","119","1","21","70","71","4"
"522","2015","295","1","52","348","","4"
"523","2015","97","","3","41","59","4"
"525","2015","258","","35","110","183","4"
"526","2015","247","","16","122","141","4"
"527","2015","244","2","32","102","176","4"
"528","2015","249","1","20","257","13","4"
"530","2015","227","1","29","120","137","4"
"531","2015","133","1","9","74","69","4"
"533","2015","2","","","1","1","4"
"534","2015","104","","10","48","66","4"
"535","2015","82","","13","50","45","4"
"536","2015","94","","2","43","53","4"
"539","2015","32","1","10","19","24","4"
"540","2015","41","","7","34","14","4"
"542","2015","105","1","10","58","58","4"
"543","2015","92","","21","58","55","4"
"546","2015","76","","7","35","48","4"
"548","2015","20","","4","6","18","4"
"549","2015","4","","2","1","5","4"
"550","2015","1","","","","1","4"
"551","2015","13","1","6","8","12","4"
"554","2015","6","","","3","3","4"
"556","2015","112","","18","64","66","4"
"557","2015","41","1","13","32","23","4"
"558","2015","11","1","","6","6","4"
"560","2015","59","","7","35","31","4"
"561","2015","11","","","5","6","4"
"562","2015","95","","5","42","58","4"
"563","2015","3","","1","2","2","4"
"564","2015","1","","","1","","4"
"597","2015","59","","","30","29","4"
"599","2015","24","","","12","12","4"
"602","2015","16","","","10","6","4"
"604","2015","6","","","4","2","4"
"606","2015","7","","","4","3","4"
"657","2015","118","","26","70","74","4"
"658","2015","92","","","49","43","4"
"664","2015","211","","3","120","94","4"
"715","2015","96","","9","54","51","4"
"718","2015","74","","3","41","36","4"
"725","2015","59","","3","33","29","4"
"730","2015","74","","5","41","38","4"
"731","2015","12","","","5","7","4"
"773","2015","40","","10","19","31","4"
"774","2015","77","","24","59","42","4"
"775","2015","9","","12","16","5","4"
"776","2015","1","","2","1","2","4"
"777","2015","8","","","4","4","4"
"778","2015","21","","4","8","17","4"
"780","2015","20","","2","12","10","4"
"784","2015","3","","2","4","1","4"
"785","2015","1","","","","1","4"
"786","2015","1","","","","1","4"
"788","2015","","","3","3","","4"
"789","2015","1","","1","1","1","4"
"790","2015","5","","4","7","2","4"
"793","2015","39","","7","19","27","4"
"798","2015","153","","","90","63","4"
"799","2015","12","","","3","9","4"
"800","2015","16","","","13","3","4"
"803","2015","58","","","19","39","4"
"805","2015","4","","","1","3","4"
"809","2015","2","","","","2","4"
"821","2015","19","","","10","9","4"
"822","2015","35","","","20","15","4"
"827","2015","55","","","25","30","4"
"833","2015","21","","","10","11","4"
"837","2015","7","","","4","3","4"
"847","2015","334","","3","185","152","4"
"848","2015","121","","","64","57","4"
"849","2015","47","","1","23","25","4"
"850","2015","21","","","10","11","4"
"851","2015","36","","","16","20","4"
"852","2015","61","","","25","36","4"
"856","2015","2","","","","2","4"
"862","2015","2","","","1","1","4"
"868","2015","2","","","","2","4"
"870","2015","14","","","7","7","4"
"871","2015","14","","","8","6","4"
"876","2015","27","","","8","19","4"
"879","2015","2","","","1","1","4"
"887","2015","1","","1","","2","4"
"888","2015","9","","","5","4","4"
"889","2015","1","","","","1","4"
"890","2015","2","","","1","1","4"
"892","2015","17","","1","6","12","4"
"897","2015","77","","13","47","43","4"
"946","2015","10","","4","10","4","4"
"959","2015","62","","9","31","40","4"
"969","2015","207","","26","93","140","4"
"970","2015","63","","9","16","56","4"
"971","2015","193","","21","214","","4"
"972","2015","74","","15","35","54","4"
"973","2015","65","","5","33","37","4"
"974","2015","56","","10","20","46","4"
"976","2015","37","","11","22","26","4"
"977","2015","25","","3","10","18","4"
"982","2015","122","","15","58","79","4"
"987","2015","250","","28","139","139","4"
"990","2015","70","","10","39","41","4"
"1014","2015","77","","5","46","36","4"
"1016","2015","20","","","10","10","4"
"1033","2015","18","","","12","6","4"
"1049","2015","135","","65","103","97","4"
"1050","2015","25","","10","18","17","4"
"1051","2015","47","","40","37","50","4"
"1052","2015","5","","3","8","","4"
"1059","2015","25","","28","30","23","4"
"1077","2015","50","","","20","30","4"
"1078","2015","28","","","14","14","4"
"1087","2015","71","","","44","27","4"
"1100","2015","15","","","9","6","4"
"1147","2015","53","","2","27","28","5"
"1148","2015","1","","","1","","5"
"1149","2015","57","","","29","28","5"
"1151","2015","2","","","","2","5"
"1152","2015","47","","16","32","31","5"
"1156","2015","22","","7","13","16","5"
"1157","2015","17","","8","11","14","5"
"1160","2015","8","","4","4","8","5"
"1161","2015","91","","14","40","65","5"
"1162","2015","11","","2","5","8","5"
"1164","2015","1","","","1","","5"
"1166","2015","58","","13","35","36","5"
"1168","2015","54","","25","43","36","5"
"1170","2015","90","","5","48","47","5"
"1171","2015","1","","","","1","5"
"1173","2015","47","","4","28","23","5"
"1174","2015","49","","7","20","36","5"
"1176","2015","32","","2","17","17","5"
"1178","2015","94","","10","61","43","5"
"1180","2015","53","","12","26","39","5"
"1191","2015","107","","13","51","69","5"
"1192","2015","59","1","5","31","34","5"
"1247","2015","66","","23","45","44","5"
"1248","2015","156","","28","93","91","5"
"1249","2015","23","","7","17","13","5"
"1250","2015","57","","16","33","40","5"
"1251","2015","102","","16","45","73","5"
"1252","2015","29","","3","16","16","5"
"1256","2015","162","1","81","125","119","5"
"1257","2015","150","1","30","84","97","5"
"1258","2015","48","","7","25","30","5"
"1259","2015","35","","3","18","20","5"
"1260","2015","135","","16","72","79","5"
"1301","2015","101","","9","52","58","5"
"1302","2015","92","","9","60","41","5"
"1304","2015","18","","5","9","14","5"
"1305","2015","30","","3","14","19","5"
"1307","2015","62","","7","29","40","5"
"1308","2015","12","","2","9","5","5"
"1309","2015","23","","2","11","14","5"
"1310","2015","33","","4","20","17","5"
"1312","2015","31","","1","14","18","5"
"1313","2015","53","","8","35","26","5"
"1316","2015","194","","9","113","90","5"
"1318","2015","22","","9","18","13","5"
"1321","2015","45","","5","21","29","5"
"1322","2015","3","","","1","2","5"
"1323","2015","7","","2","2","7","5"
"1325","2015","7","","","3","4","5"
"1326","2015","14","","7","8","13","5"
"1328","2015","21","","2","12","11","5"
"1329","2015","48","","4","22","30","5"
"1331","2015","19","","4","15","8","5"
"1332","2015","19","","5","13","11","5"
"1333","2015","28","","2","17","13","5"
"1336","2015","246","","17","108","155","5"
"1337","2015","23","","8","19","12","5"
"1338","2015","20","","1","12","9","5"
"1339","2015","29","","1","10","20","5"
"1340","2015","69","","2","32","39","5"
"1341","2015","44","","5","23","26","5"
"1342","2015","12","","3","7","8","5"
"1346","2015","18","","","6","12","5"
"1352","2015","24","","6","17","13","5"
"1353","2015","39","","2","22","19","5"
"1355","2015","35","","4","16","23","5"
"1356","2015","","","1","","1","5"
"1358","2015","3","","3","5","1","5"
"1359","2015","10","","3","6","7","5"
"1360","2015","4","","5","7","2","5"
"1361","2015","77","","20","43","54","5"
"1367","2015","2","","3","4","1","5"
"1368","2015","300","","27","326","1","5"
"1369","2015","77","","8","18","67","5"
"1370","2015","181","","13","94","100","5"
"1371","2015","192","","22","100","114","5"
"1376","2015","122","","3","36","89","5"
"1377","2015","153","","12","75","90","5"
"1384","2015","","","1","","1","5"
"1385","2015","","","2","","2","5"
"1389","2015","1","","","","1","5"
"1390","2015","1","","","","1","5"
"1393","2015","","","1","1","","5"
"1395","2015","313","","24","190","147","5"
"1397","2015","447","","18","","465","5"
"1414","2015","117","","30","78","69","5"
"1416","2015","178","","49","104","123","5"
"1417","2015","94","","21","58","57","5"
"1418","2015","16","","15","10","21","5"
"1419","2015","38","","12","25","25","5"
"1423","2015","6","","","4","2","5"
"1424","2015","2","","","","2","5"
"1425","2015","17","","","9","8","5"
"1427","2015","1","","","","1","5"
"1430","2015","9","","","4","5","5"
"1453","2015","142","1","44","98","89","5"
"1454","2015","19","","4","12","11","5"
"1455","2015","12","","4","7","9","5"
"1456","2015","28","","2","15","15","5"
"1457","2015","32","","14","24","22","5"
"1458","2015","14","","17","16","15","5"
"1459","2015","55","","13","35","33","5"
"1460","2015","4","","1","","5","5"
"1461","2015","2","","","1","1","5"
"1462","2015","15","1","7","9","14","5"
"1474","2015","203","","11","109","105","5"
"1488","2015","184","","8","110","82","5"
"1490","2015","98","","36","62","72","5"
"1491","2015","82","","6","47","41","5"
"1493","2015","19","","","8","11","5"
"1496","2015","36","","7","15","28","5"
"1497","2015","2","","4","","6","5"
"1498","2015","26","","2","12","16","5"
"1500","2015","257","","55","148","164","5"
"1516","2015","167","","16","90","93","5"
"1521","2015","62","","","62","","5"
"1524","2015","59","","","27","32","5"
"1528","2015","18","","","7","11","5"
"1533","2015","240","","4","2","242","5"
"1534","2015","121","1","2","124","","5"
"1536","2015","200","","","102","98","5"
"1547","2015","60","","","23","37","5"
"1551","2015","80","","1","41","40","5"
"1667","2015","98","","13","49","62","5"
"1677","2015","155","","45","197","3","5"
"1678","2015","43","","3","25","21","5"
"1680","2015","2","","2","2","2","5"
"1681","2015","93","","13","79","27","5"
"1682","2015","239","","47","156","130","5"
"1683","2015","15","","10","7","18","5"
"1684","2015","287","","36","118","205","5"
"1685","2015","32","","17","19","30","5"
"1686","2015","67","","9","36","40","5"
"1688","2015","82","","9","50","41","5"
"1689","2015","216","","17","109","124","5"
"1691","2015","44","","2","21","25","5"
"1692","2015","10","","3","7","6","5"
"1693","2015","2","","2","4","","5"
"1695","2015","107","","12","55","64","5"
"1696","2015","40","","3","20","23","5"
"1697","2015","92","","15","60","47","5"
"1698","2015","10","","10","8","12","5"
"1699","2015","259","","64","151","172","5"
"1700","2015","5","","3","4","4","5"
"1701","2015","58","","13","40","31","5"
"1702","2015","4","","2","1","5","5"
"1703","2015","83","","11","43","51","5"
"1704","2015","3","","2","1","4","5"
"1705","2015","76","","11","44","43","5"
"1707","2015","169","","33","98","104","5"
"1708","2015","120","","11","50","81","5"
"1709","2015","1","","1","2","","5"
"1712","2015","5","","","3","2","5"
"1714","2015","22","","4","7","19","5"
"1716","2015","113","","21","71","63","5"
"1717","2015","37","","3","21","19","5"
"1718","2015","4","","6","4","6","5"
"1720","2015","2","","2","1","3","5"
"1721","2015","2","","3","","5","5"
"1722","2015","30","","5","28","7","5"
"1724","2015","137","","20","64","93","5"
"1728","2015","24","","2","15","11","5"
"1732","2015","62","","6","32","36","5"
"1742","2015","57","","12","26","43","5"
"1748","2015","38","","23","35","26","5"
"1767","2015","9","","2","5","6","5"
"1851","2015","20","","","3","17","5"
"1855","2015","153","","8","69","92","5"
"1856","2015","24","","","13","11","5"
"1857","2015","18","","6","12","12","5"
"1858","2015","234","","3","129","108","5"
"1859","2015","162","","3","99","66","5"
"1860","2015","159","","","85","74","5"
"1863","2015","1","","","1","","5"
"1864","2015","125","","","66","59","5"
"1867","2015","64","","","27","37","5"
"1868","2015","127","","","58","69","5"
"1873","2015","1","","","","1","5"
"1874","2015","48","","","24","24","5"
"1880","2015","43","","","16","27","5"
"1881","2015","282","","13","144","151","5"
"1890","2015","51","","2","24","29","5"
"1891","2015","117","","4","52","69","5"
"1892","2015","113","","5","64","54","5"
"1893","2015","107","","7","47","67","5"
"1896","2015","14","","","11","3","5"
"1899","2015","134","","2","61","75","5"
"1959","2015","156","","9","81","84","5"
"1961","2015","131","","12","76","67","5"
"1963","2015","143","1","2","73","73","5"
"1965","2015","82","","19","49","52","5"
"1966","2015","129","","5","70","64","5"
"1967","2015","581","8","56","333","312","5"
"1968","2015","71","","3","26","48","5"
"1969","2015","121","","8","61","68","5"
"1970","2015","153","3","25","83","98","5"
"1971","2015","124","","7","65","66","5"
"1975","2015","145","","2","62","85","5"
"1976","2015","2","","1","2","1","5"
"1997","2015","263","","52","152","163","5"
"1998","2015","260","","45","172","133","5"
"1999","2015","299","","61","172","188","5"
"2000","2015","2","","1","2","1","5"
"2003","2015","39","","1","20","20","5"
"2005","2015","79","","10","47","42","5"
"2007","2015","132","","13","70","75","5"
"2008","2015","116","","63","80","99","5"
"2009","2015","39","","8","19","28","5"
"2065","2015","270","","43","164","149","5"
"2066","2015","63","","22","46","39","5"
"2068","2015","59","1","10","34","36","5"
"2069","2015","20","","4","5","19","5"
"2071","2015","18","","7","8","17","5"
"2074","2015","181","","44","96","129","5"
"2075","2015","98","","16","55","59","5"
"2079","2015","11","","","5","6","5"
"2081","2015","122","","22","67","77","5"
"2084","2015","90","","35","51","74","5"
"2090","2015","171","","17","101","87","5"
"2114","2015","451","3","107","553","8","6"
"2232","2015","73","","3","43","33","6"
"2234","2015","232","","55","155","132","6"
"2235","2015","25","","4","16","13","6"
"2236","2015","13","","","7","6","6"
"2237","2015","11","","2","7","6","6"
"2238","2015","1","","1","","2","6"
"2240","2015","38","","4","19","23","6"
"2244","2015","14","","8","6","16","6"
"2310","2015","196","","","98","98","6"
"2311","2015","22","","","13","9","6"
"2312","2015","90","","","46","44","6"
"2313","2015","1","","","","1","6"
"2314","2015","62","","","34","28","6"
"2319","2015","61","","13","37","37","6"
"2320","2015","32","","8","24","16","6"
"2321","2015","62","","5","28","39","6"
"2324","2015","43","","7","24","26","6"
"2330","2015","331","","20","168","183","6"
"2339","2015","81","","5","38","48","6"
"2360","2015","26","","","14","12","6"
"2361","2015","186","","1","96","91","6"
"2364","2015","84","","2","37","49","6"
"2365","2015","130","","17","74","73","6"
"2366","2015","10","","","5","5","6"
"2367","2015","52","","2","26","28","6"
"2372","2015","9","","4","9","4","6"
"2373","2015","16","","3","9","10","6"
"2381","2015","34","","","18","16","6"
"2384","2015","20","","","11","9","6"
"2388","2015","69","","","37","32","6"
"2389","2015","61","","","39","22","6"
"2390","2015","47","1","1","22","27","6"
"2391","2015","5","","","2","3","6"
"2392","2015","17","","2","9","10","6"
"2394","2015","12","","","5","7","6"
"2395","2015","31","","","19","12","6"
"2396","2015","9","","","5","4","6"
"2397","2015","51","","1","30","22","6"
"2398","2015","50","","","22","28","6"
"2412","2015","55","","5","31","29","6"
"2413","2015","53","","1","24","30","6"
"2414","2015","8","","","4","4","6"
"2415","2015","12","","","8","4","6"
"2416","2015","19","","","7","12","6"
"2417","2015","19","","","10","9","6"
"2419","2015","31","","2","17","16","6"
"2420","2015","11","","","4","7","6"
"2423","2015","90","","","53","37","6"
"2424","2015","21","","","10","11","6"
"2426","2015","65","","","25","40","6"
"2428","2015","45","","","21","24","6"
"2429","2015","49","","","22","27","6"
"2459","2015","28","","4","15","17","6"
"2460","2015","7","","4","5","6","6"
"2461","2015","97","1","12","39","71","6"
"2464","2015","35","","1","16","20","6"
"2518","2015","148","","33","89","92","6"
"2519","2015","100","","19","63","56","6"
"2520","2015","83","","9","35","57","6"
"2521","2015","97","","22","60","59","6"
"2522","2015","8","","","4","4","6"
"2523","2015","58","","7","39","26","6"
"2524","2015","85","","10","42","53","6"
"2532","2015","226","","3","133","96","6"
"2534","2015","2","","","","2","6"
"2537","2015","3","","","1","2","6"
"2539","2015","2","","","1","1","6"
"2540","2015","1","","","","1","6"
"2553","2015","396","","20","218","198","6"
"2555","2015","130","","13","57","86","6"
"2556","2015","21","","1","12","10","6"
"2557","2015","2","","3","2","3","6"
"2558","2015","1","","1","1","1","6"
"2559","2015","45","","6","23","28","6"
"2560","2015","11","","1","11","1","6"
"2561","2015","15","","","8","7","6"
"2562","2015","28","","1","15","14","6"
"2563","2015","8","","1","8","1","6"
"2565","2015","26","","1","11","16","6"
"2568","2015","3","","1","1","3","6"
"2570","2015","21","","3","12","12","6"
"2576","2015","10","","2","2","10","6"
"2577","2015","14","","4","11","7","6"
"2579","2015","713","","27","35","705","6"
"2580","2015","65","","11","76","","6"
"2586","2015","4","","","","4","6"
"2589","2015","1","","","","1","6"
"2590","2015","6","","","4","2","6"
"2591","2015","7","","","4","3","6"
"2592","2015","4","","","2","2","6"
"2594","2015","10","","1","4","7","6"
"2598","2015","7","","","6","1","6"
"2626","2015","151","","14","82","83","6"
"2627","2015","43","","16","34","25","6"
"2629","2015","15","","2","13","4","6"
"2637","2015","24","","10","13","21","6"
"2642","2015","7","","","5","2","6"
"2646","2015","9","","","7","2","6"
"2650","2015","36","","","10","26","6"
"2654","2015","89","","11","55","45","6"
"2656","2015","218","","7","128","97","6"
"2658","2015","18","","4","5","17","6"
"2660","2015","33","","2","19","16","6"
"2666","2015","11","","2","4","9","6"
"2682","2015","95","","54","63","86","6"
"2685","2015","5","","6","2","9","6"
"2686","2015","49","","19","38","30","6"
"2687","2015","4","","4","1","7","6"
"2692","2015","3","","24","16","11","6"
"2714","2015","51","","10","33","28","6"
"2715","2015","76","1","41","61","57","6"
"2716","2015","34","","5","16","23","6"
"2717","2015","46","","15","33","28","6"
"2721","2015","6","","7","9","4","6"
"2722","2015","4","","12","3","13","6"
"2723","2015","4","","3","1","6","6"
"2724","2015","6","","8","13","1","6"
"2725","2015","7","","1","5","3","6"
"2727","2015","3","","3","2","4","6"
"2728","2015","12","","4","11","5","6"
"2734","2015","177","","7","88","96","7"
"2737","2015","32","","","14","18","7"
"2738","2015","214","","25","239","","7"
"2740","2015","164","","4","79","89","7"
"2741","2015","106","","15","","121","7"
"2745","2015","125","","5","53","77","7"
"2753","2015","101","","28","70","59","7"
"2755","2015","140","","2","64","78","7"
"2761","2015","21","","13","21","13","7"
"2762","2015","10","","","5","5","7"
"2763","2015","21","","6","16","11","7"
"2766","2015","9","","","4","5","7"
"2767","2015","21","1","20","16","26","7"
"2771","2015","16","","2","9","9","7"
"2776","2015","17","","5","10","12","7"
"2780","2015","27","","","19","8","7"
"2795","2015","9","","","5","4","7"
"2805","2015","4","","","1","3","7"
"2817","2015","9","","1","4","6","7"
"2822","2015","12","","5","8","9","7"
"2823","2015","40","","7","24","23","7"
"2825","2015","16","","1","9","8","7"
"2826","2015","17","","4","8","13","7"
"2830","2015","5","","1","3","3","7"
"2837","2015","17","","","","17","7"
"2839","2015","93","","5","53","45","7"
"2840","2015","85","","4","89","","7"
"2842","2015","40","","1","17","24","7"
"2843","2015","61","","3","24","40","7"
"2844","2015","26","","1","12","15","7"
"2845","2015","119","","8","52","75","7"
"2847","2015","142","","6","79","69","7"
"2848","2015","65","","4","27","42","7"
"2854","2015","1","","","1","","7"
"2859","2015","94","","5","49","50","7"
"2866","2015","18","","","13","5","7"
"2867","2015","37","","2","25","14","7"
"2868","2015","14","","1","10","5","7"
"2870","2015","44","","2","19","27","7"
"2871","2015","42","","3","20","25","7"
"2873","2015","15","","","7","8","7"
"2875","2015","4","","","4","","7"
"2876","2015","1","","","","1","7"
"2877","2015","3","","","1","2","7"
"2894","2015","4","","","3","1","7"
"2903","2015","30","","5","14","21","7"
"2908","2015","9","","","7","2","7"
"2941","2015","26","","3","18","11","7"
"2945","2015","66","","2","39","29","7"
"2946","2015","122","","14","62","74","7"
"2952","2015","19","","2","4","17","7"
"2955","2015","23","","1","6","18","7"
"2956","2015","108","","6","53","61","7"
"2957","2015","108","","4","55","57","7"
"2958","2015","158","","16","87","87","7"
"2959","2015","85","","8","45","48","7"
"2964","2015","273","","23","153","143","7"
"2965","2015","127","","6","65","68","7"
"2966","2015","22","","1","9","14","7"
"2968","2015","15","","","5","10","7"
"2972","2015","98","","6","45","59","7"
"2975","2015","45","","","16","29","7"
"2977","2015","67","","3","38","32","7"
"2978","2015","62","","1","34","29","7"
"2979","2015","71","","8","48","31","7"
"2981","2015","60","","2","28","34","7"
"3016","2015","43","","9","27","25","7"
"3017","2015","221","","40","128","133","7"
"3019","2015","52","","10","35","27","7"
"3020","2015","23","","1","17","7","7"
"3022","2015","6","","3","4","5","7"
"3023","2015","13","","2","6","9","7"
"3025","2015","11","","2","7","6","7"
"3028","2015","10","","1","3","8","7"
"3029","2015","1","","3","","4","7"
"3032","2015","39","","14","34","19","7"
"3033","2015","182","","21","108","95","7"
"3034","2015","32","","1","17","16","7"
"3036","2015","4","","2","3","3","7"
"3037","2015","34","","1","19","16","7"
"3038","2015","3","","6","3","6","7"
"3039","2015","80","","10","41","49","7"
"3042","2015","","","1","1","","7"
"3044","2015","","","1","1","","7"
"3045","2015","10","","1","5","6","7"
"3048","2015","6","","","5","1","7"
"3051","2015","6","","2","5","3","7"
"3056","2015","188","","40","97","131","7"
"3057","2015","33","","","19","14","7"
"3058","2015","37","","2","16","23","7"
"3059","2015","46","","19","34","31","7"
"3060","2015","86","","16","53","49","7"
"3061","2015","44","","4","25","23","7"
"3062","2015","22","","5","17","10","7"
"3063","2015","59","","8","37","30","7"
"3065","2015","10","","1","7","4","7"
"3067","2015","5","","","4","1","7"
"3068","2015","40","","1","20","21","7"
"3069","2015","62","","6","25","43","7"
"3070","2015","50","","5","23","32","7"
"3073","2015","14","","2","7","9","7"
"3076","2015","17","","5","12","10","7"
"3077","2015","3","","1","1","3","7"
"3078","2015","1","","","","1","7"
"3079","2015","19","","2","8","13","7"
"3081","2015","41","","3","19","25","7"
"3082","2015","","","1","","1","7"
"3084","2015","14","","","6","8","7"
"3085","2015","11","","3","8","6","7"
"3086","2015","36","","6","15","27","7"
"3088","2015","1","","","","1","7"
"3090","2015","14","","2","7","9","7"
"3093","2015","7","","2","2","7","7"
"3096","2015","17","","4","12","9","7"
"3103","2015","1","","","","1","7"
"3104","2015","9","","1","6","4","7"
"3106","2015","9","","1","6","4","7"
"3107","2015","42","","10","25","27","7"
"3110","2015","114","","12","70","56","7"
"3112","2015","31","","4","18","17","7"
"3113","2015","72","","5","48","29","7"
"3114","2015","102","","5","43","64","7"
"3115","2015","26","","1","14","13","7"
"3117","2015","28","","5","16","17","7"
"3118","2015","18","","3","10","11","7"
"3121","2015","2","","","","2","7"
"3122","2015","22","","1","10","13","7"
"3125","2015","5","","","","5","7"
"3128","2015","141","","22","89","74","7"
"3130","2015","35","","3","18","20","7"
"3134","2015","17","","","11","6","7"
"3138","2015","79","","8","48","39","7"
"3139","2015","22","","4","16","10","7"
"3140","2015","44","","11","19","36","7"
"3141","2015","1","","","","1","7"
"3143","2015","42","","3","23","22","7"
"3146","2015","4","","","2","2","7"
"3156","2015","2","","","","2","7"
"3158","2015","3","","","1","2","7"
"3159","2015","1","","","","1","7"
"3161","2015","1","","","","1","7"
"3169","2015","146","","5","58","93","7"
"3206","2015","49","","3","31","21","7"
"3207","2015","103","","","45","58","7"
"3208","2015","2","","","1","1","7"
"3209","2015","81","","2","41","42","7"
"3213","2015","1","","","","1","7"
"3215","2015","2","","","1","1","7"
"3217","2015","13","","1","3","11","7"
"3221","2015","2","","","2","","7"
"3222","2015","2","","","2","","7"
"3230","2015","9","","","2","7","7"
"3232","2015","4","","","","4","7"
"3235","2015","2","","","2","","7"
"3236","2015","1","","","1","","7"
"3242","2015","5","","","1","4","7"
"3249","2015","69","","5","45","29","7"
"3250","2015","31","1","14","24","22","7"
"3251","2015","168","1","17","73","113","7"
"3253","2015","9","","4","5","8","7"
"3255","2015","25","","1","14","12","7"
"3256","2015","132","2","16","54","96","7"
"3257","2015","15","","2","11","6","7"
"3258","2015","","","1","1","","7"
"3260","2015","","1","1","1","1","7"
"3261","2015","50","","2","24","28","7"
"3266","2015","43","1","11","27","28","7"
"3268","2015","65","1","12","39","39","7"
"3313","2015","138","1","17","71","85","7"
"3314","2015","82","","7","39","50","7"
"3315","2015","86","","16","52","50","7"
"3316","2015","3","","","2","1","7"
"3317","2015","3","","","2","1","7"
"3318","2015","40","","3","17","26","7"
"3319","2015","108","","4","62","50","7"
"3321","2015","54","","11","32","33","7"
"3322","2015","1","","","","1","7"
"3323","2015","102","","16","58","60","7"
"3325","2015","47","","4","30","21","7"
"3329","2015","28","","3","17","14","7"
"3330","2015","11","","","4","7","7"
"3332","2015","21","1","2","7","17","7"
"3333","2015","6","","","3","3","7"
"3334","2015","33","","1","16","18","7"
"3335","2015","56","1","10","31","36","7"
"3347","2015","32","","1","22","11","7"
"3349","2015","132","","24","73","83","7"
"3355","2015","39","","7","16","30","7"
"3356","2015","31","","4","17","18","7"
"3362","2015","26","","5","18","13","7"
"3381","2015","49","","15","31","33","7"
"3389","2015","16","","2","13","5","7"
"3390","2015","93","","16","55","54","7"
"3393","2015","12","","","4","8","7"
"3398","2015","14","","","3","11","7"
"3401","2015","22","","","12","10","7"
"3404","2015","8","","","5","3","7"
"3405","2015","5","","","1","4","7"
"3435","2015","15","","","10","5","7"
"3436","2015","84","","32","48","68","7"
"3440","2015","32","","","22","10","7"
"3448","2015","41","","1","23","19","7"
"3449","2015","12","","2","7","7","7"
"3450","2015","9","","","3","6","7"
"3454","2015","45","","2","27","20","7"
"3458","2015","1","","1","","2","7"
"3462","2015","","","1","","1","7"
"3463","2015","1","","","","1","7"
"3464","2015","104","","","53","51","7"
"3465","2015","56","","7","34","29","7"
"3466","2015","47","","6","26","27","7"
"3467","2015","30","","","13","17","7"
"3470","2015","47","","3","26","24","7"
"3471","2015","67","","8","42","33","7"
"3480","2015","53","","37","49","41","7"
"3481","2015","37","","5","23","19","7"
"3482","2015","75","","37","52","60","7"
